pin,slack
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc2/tx_data[18]:SLn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:ADn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:ALn,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:CLK,47299
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:D,46054
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:EN,41920
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:LAT,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:Q,47299
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:SD,
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/ds/word[5]:SLn,
cmam_if_wrap_0/cmam_if/nif/data_rd_0_am[27]:A,42898
cmam_if_wrap_0/cmam_if/nif/data_rd_0_am[27]:B,41263
cmam_if_wrap_0/cmam_if/nif/data_rd_0_am[27]:C,41102
cmam_if_wrap_0/cmam_if/nif/data_rd_0_am[27]:Y,41102
cmam_if_wrap_0/cmam_if/am_if/reset13:A,19951
cmam_if_wrap_0/cmam_if/am_if/reset13:B,19894
cmam_if_wrap_0/cmam_if/am_if/reset13:C,19784
cmam_if_wrap_0/cmam_if/am_if/reset13:D,19661
cmam_if_wrap_0/cmam_if/am_if/reset13:Y,19661
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:A,40525
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:B,41648
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:C,38774
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:D,40158
cmam_if_wrap_0/cmam_if/nif/nmc2/nrx/data_rd_3_0_a2_1[13]:Y,38774
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[0],
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[10],47435
cmam_if_wrap_0/cmam_if/nif/nmc3/adcfifo/ADCFIFO_0/genblk20_UI_ram_wrapper_1/L3_syncnonpipe/ADCFIFO_ADCFIFO_0_LSRAM_top_R0C0/INST_RAM1K18_IP:A_ADDR[11],47437
